iter	MultiClass
0	1.037737916
1	0.9893990499
2	0.9486482101
3	0.9167069638
4	0.8855372497
5	0.8589070581
6	0.8356198018
7	0.8150099039
8	0.7959716682
9	0.781239197
10	0.7652038334
11	0.7527525875
12	0.7384298427
13	0.7261356665
14	0.7143365538
15	0.7034348388
16	0.6932615242
17	0.6835530914
18	0.6741592038
19	0.6658035002
20	0.6585426566
21	0.6509706469
22	0.6424699823
23	0.6343532748
24	0.626910055
25	0.61801248
26	0.6112368883
27	0.6043931727
28	0.5984525474
29	0.592270304
30	0.5853131069
31	0.5794736677
32	0.5730528677
33	0.567537263
34	0.5623865507
35	0.5574199703
36	0.5539711455
37	0.5494600441
38	0.5436782437
39	0.5378154608
40	0.5329197387
41	0.5291833789
42	0.5247224268
43	0.519822089
44	0.515482457
45	0.5106133182
46	0.5059082817
47	0.5019723771
48	0.4974845406
49	0.4933923334
50	0.4897570912
51	0.4855585814
52	0.4811532307
53	0.4778013487
54	0.4744356876
55	0.4697000941
56	0.4658710637
57	0.4617507088
58	0.4577586327
59	0.4546495993
60	0.4517658027
61	0.4478064951
62	0.4444320964
63	0.4416499367
64	0.4391855369
65	0.4359789559
66	0.43314175
67	0.4304301094
68	0.4260901649
69	0.4233987989
70	0.4202226814
71	0.4175107711
72	0.4147652295
73	0.4122857438
74	0.40833239
75	0.4059350465
76	0.403702144
77	0.4010958967
78	0.3980421454
79	0.3956934087
80	0.3933790438
81	0.3920094483
82	0.3904653753
83	0.3878643023
84	0.3863696008
85	0.3842275049
86	0.3818380924
87	0.3794122076
88	0.3756059875
89	0.3733258625
90	0.3705583615
91	0.3684153437
92	0.3662033501
93	0.3637070126
94	0.3616969259
95	0.3590798912
96	0.356983751
97	0.3547488721
98	0.3521431129
99	0.3503353571
100	0.348001333
101	0.345697126
102	0.3437901168
103	0.3415357419
104	0.3399055469
105	0.3385999349
106	0.3374960913
107	0.3355859562
108	0.3339598642
109	0.3324696569
110	0.3307550894
111	0.3290275968
112	0.3273573835
113	0.3253773135
114	0.3232080835
115	0.3213299357
116	0.3199238767
117	0.318476553
118	0.3166178792
119	0.3149134886
120	0.3128394904
121	0.3105316524
122	0.308871773
123	0.3063846781
124	0.3043740886
125	0.3026873049
126	0.3006289435
127	0.2990246252
128	0.297725478
129	0.2963499465
130	0.2948683857
131	0.2935161445
132	0.2924321565
133	0.290829222
134	0.2892175082
135	0.2881539764
136	0.2871998523
137	0.286078954
138	0.2845529894
139	0.2832350582
140	0.2816402095
141	0.2800524297
142	0.2785146613
143	0.2772468281
144	0.2756669494
145	0.2741668685
146	0.2728901676
147	0.2717598454
148	0.2703007835
149	0.2689456102
150	0.2678328294
151	0.2666018811
152	0.2654453502
153	0.2643105466
154	0.2631915872
155	0.2618457382
156	0.2604658913
157	0.2592601087
158	0.2582592111
159	0.2569475227
160	0.2556707255
161	0.2546854718
162	0.2533312607
163	0.2520740986
164	0.2513594882
165	0.2502215939
166	0.2491653719
167	0.2480704914
168	0.247052393
169	0.2459791976
170	0.2448931143
171	0.2436392346
172	0.2425704654
173	0.2415282457
174	0.240635433
175	0.2398522869
176	0.2387519212
177	0.2372635291
178	0.2360947945
179	0.2351625515
180	0.233922433
181	0.2330558249
182	0.2321640407
183	0.2311906758
184	0.2302020388
185	0.2294894902
186	0.2287270654
187	0.228039821
188	0.2272900792
189	0.2265720619
190	0.2257354667
191	0.2248301832
192	0.2238645036
193	0.2231471085
194	0.2224316308
195	0.2213546576
196	0.2205154428
197	0.2196851634
198	0.2189596486
199	0.2179358392
200	0.2167945554
201	0.215770938
202	0.21478059
203	0.2138289203
204	0.2128632844
205	0.2120813839
206	0.211056672
207	0.2101394933
208	0.2094921334
209	0.2084261578
210	0.2074444972
211	0.2067422411
212	0.2058392411
213	0.2050633472
214	0.2040741309
215	0.2035535106
216	0.2028478888
217	0.2021202285
218	0.2014189792
219	0.2007822676
220	0.2000618799
221	0.1992918655
222	0.1985952138
223	0.1979284217
224	0.1972176714
225	0.196582295
226	0.1958344516
227	0.1949029032
228	0.1942800097
229	0.1934256699
230	0.1927722259
231	0.1918662778
232	0.1912749685
233	0.1904541942
234	0.1895461923
235	0.1889043628
236	0.1884668047
237	0.1878091438
238	0.1869021108
239	0.1860964844
240	0.1851989255
241	0.1844416172
242	0.1837346028
243	0.1831807127
244	0.1823891718
245	0.1815419784
246	0.1806926573
247	0.1802210297
248	0.1795192702
249	0.1790223447
250	0.1783645766
251	0.1777049702
252	0.1770494523
253	0.1767018408
254	0.1761968914
255	0.1754369571
256	0.1748243096
257	0.1742797387
258	0.1736250863
259	0.1730377933
260	0.1724506164
261	0.1719851862
262	0.1713472433
263	0.1704537946
264	0.1697813486
265	0.1690729275
266	0.1685109695
267	0.1678143287
268	0.1672156268
269	0.1669007217
270	0.1662977187
271	0.1655416496
272	0.1649944069
273	0.1643278548
274	0.1635789435
275	0.1630675032
276	0.1624739529
277	0.1619744178
278	0.1614131047
279	0.1609963652
280	0.1603152469
281	0.1597650544
282	0.1591710019
283	0.1585446807
284	0.1579091861
285	0.1573330724
286	0.1566616044
287	0.1561502304
288	0.1556330413
289	0.1551226889
290	0.1546728003
291	0.1543151383
292	0.1540324695
293	0.1537159517
294	0.1531524569
295	0.1525095627
296	0.1520090995
297	0.1515096162
298	0.1509989517
299	0.1506696574
300	0.1503129027
301	0.149805523
302	0.1492998897
303	0.1489129632
304	0.1484124876
305	0.148056497
306	0.147764257
307	0.1472160661
308	0.1468132397
309	0.1463106707
310	0.1457710588
311	0.145246714
312	0.1447037847
313	0.1441916182
314	0.1437347306
315	0.1434300269
316	0.1428450332
317	0.14251516
318	0.1418805045
319	0.14139707
320	0.1409570808
321	0.1405934769
322	0.1402760519
323	0.1395670721
324	0.1391760577
325	0.1388412304
326	0.1384107328
327	0.137964763
328	0.137658954
329	0.1370545133
330	0.1367708005
331	0.1364021922
332	0.1360305843
333	0.1357063571
334	0.1353278047
335	0.1349248472
336	0.1344791149
337	0.1339646125
338	0.1334818499
339	0.1330795701
340	0.1328110585
341	0.1324863078
342	0.1321240734
343	0.1317342086
344	0.1313505265
345	0.1310033815
346	0.1306953574
347	0.1305010636
348	0.1301804415
349	0.1297237559
350	0.129326281
351	0.1288425895
352	0.1284641515
353	0.1280343122
354	0.12763494
355	0.1272651331
356	0.1268453256
357	0.1264988878
358	0.1261131983
359	0.125716309
360	0.1254679923
361	0.1250136026
362	0.1248803476
363	0.1245627823
364	0.1241525249
365	0.1237942731
366	0.1233087372
367	0.1229923025
368	0.1226784118
369	0.1223245455
370	0.1218864753
371	0.1214397271
372	0.1212239979
373	0.1208541096
374	0.1206153714
375	0.1203466233
376	0.1200699878
377	0.1197372322
378	0.1194332889
379	0.1190950326
380	0.1187807346
381	0.1184825544
382	0.1182356679
383	0.1179310661
384	0.1175797065
385	0.1173221708
386	0.116974493
387	0.1167615833
388	0.1164803147
389	0.116083499
390	0.1158319042
391	0.1155595495
392	0.1152839271
393	0.1150416356
394	0.1146919531
395	0.114262617
396	0.1138853787
397	0.1136971167
398	0.1133577705
399	0.1130909504
400	0.1127558196
401	0.112460387
402	0.1121162096
403	0.1117354424
404	0.1114259674
405	0.1111478494
406	0.1109351629
407	0.110547559
408	0.1102619124
409	0.1100322543
410	0.1096262047
411	0.1093464444
412	0.1090886162
413	0.108755378
414	0.1084559285
415	0.1082627456
416	0.108039074
417	0.1078200026
418	0.1074545983
419	0.1071835052
420	0.1069285795
421	0.1065782938
422	0.1063264339
423	0.1061692655
424	0.1058265507
425	0.1054886802
426	0.1051681905
427	0.1049361145
