iter	Passed	Remaining
0	269	269051
1	597	298102
2	922	306417
3	1191	296578
4	1505	299508
5	1813	300480
6	2070	293699
7	2385	295815
8	2665	293531
9	2891	286254
10	3159	284036
11	3376	278008
12	3651	277203
13	3928	276659
14	4247	278908
15	4531	278698
16	4794	277215
17	5147	280831
18	5398	278719
19	5633	276029
20	5826	271615
21	6104	271377
22	6367	270470
23	6657	270731
24	6933	270390
25	7215	270293
26	7462	268925
27	7782	270166
28	8389	280902
29	8682	280723
30	8955	279935
31	9367	283378
32	9563	280236
33	9772	277647
34	10048	277045
35	10370	277685
36	10551	274624
37	10748	272105
38	10999	271036
39	11204	268907
40	11404	266758
41	11684	266519
42	11948	265918
43	12150	264006
44	12405	263270
45	12617	261682
46	12903	261643
47	13166	261141
48	13401	260093
49	13725	260793
50	14140	263133
51	14390	262351
52	14734	263278
53	15004	262852
54	15201	261186
55	15510	261463
56	15759	260714
57	15954	259118
58	16193	258274
59	16395	256862
60	16667	256565
61	16900	255695
62	17152	255115
63	17418	254738
64	17632	253633
65	17823	252232
66	18034	251138
67	18222	249759
68	18480	249353
69	18718	248687
70	18942	247850
71	19134	246618
72	19324	245393
73	19512	244170
74	19923	245724
75	20165	245172
76	20391	244439
77	20582	243296
78	20781	242280
79	20962	241067
80	21244	241037
81	21453	240169
82	21705	239801
83	21939	239242
84	22123	238153
85	22313	237142
86	22529	236425
87	22756	235836
88	23008	235512
89	23216	234747
90	23439	234136
91	23788	234787
92	23988	233949
93	24197	233224
94	24401	232457
95	24609	231742
96	24828	231135
97	25017	230263
98	25259	229885
99	25445	229013
100	25629	228126
101	25860	227678
102	26054	226905
103	26289	226494
104	26462	225565
105	26638	224665
106	26824	223872
107	27010	223088
108	27192	222280
109	27375	221491
110	27590	220968
111	27803	220439
112	27997	219765
113	28190	219097
114	28438	218852
115	28651	218344
116	28836	217632
117	29089	217430
118	29330	217147
119	29565	216810
120	29773	216291
121	29973	215714
122	30186	215234
123	30420	214904
124	30661	214631
125	30920	214480
126	31222	214623
127	31465	214361
128	31644	213663
129	31862	213235
130	32132	213153
131	32325	212562
132	32570	212322
133	32763	211739
134	32967	211236
135	33170	210729
136	33324	209918
137	33500	209257
138	33693	208708
139	33952	208566
140	34178	208221
141	34397	207838
142	34605	207389
143	34773	206711
144	35066	206769
145	35321	206609
